Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
07/05/2018 07:59,07/10/2018 11:03,EURUSD,Sell,0.02,1.16910,1.17170,0.0000,0.0900,-26.0,-5.11,-0.06,05:03:04:34,8.9,10h 57m,113.9,6.12,16.0,3.2,-97.9,-19.580000000000002,14.0,63.1,-42.00,-8.40
07/02/2018 22:15,07/10/2018 11:03,EURUSD,Sell,0.01,1.16410,1.17170,0.0000,0.0900,-76.0,-7.51,-0.09,07:12:48:43,5.9,10h 40m,167.7,7.47,19.8,1.9800000000000002,-147.9,-14.790000000000001,11.8,42.9,-95.80,-9.58
07/02/2018 17:14,07/02/2018 22:13,EURUSD,Buy,0.02,1.15950,1.16420,0.0000,0.0000,47.0,9.40,0.12,00:04:58:24,100.0,4h 58m,9.1,0.02,51.2,10.240000000000002,0.0,0.0,100.0,91.8,-4.20,-0.84
07/02/2018 14:57,07/02/2018 22:13,EURUSD,Buy,0.01,1.16220,1.16420,0.0000,0.0000,20.0,2.00,0.03,00:07:15:24,43.6,3h 9m,22.1,0.91,24.2,2.42,-22.1,-2.2100000000000004,52.3,90.9,-4.20,-0.42
07/02/2018 07:15,07/02/2018 22:13,EURUSD,Buy,0.01,1.16470,1.16420,0.0000,0.0000,-5.0,-0.50,-0.01,00:14:57:54,0.4,3m,56.1,92.59,0.6,0.06,-55.5,-5.550000000000001,1.1,90.0,-5.60,-0.56
06/29/2018 06:14,06/29/2018 10:15,EURUSD,Sell,0.01,1.16510,1.16150,0.0000,0.0000,36.0,3.60,0.05,00:04:01:03,100.0,4h 1m,12.2,0.03,36.0,3.6,0.0,0.0,100.0,100.0,0.00,0.00
06/29/2018 04:45,06/29/2018 10:15,EURUSD,Sell,0.01,1.16250,1.16150,0.0000,0.0000,10.0,1.00,0.01,00:05:30:57,59.1,3h 15m,27.4,2.74,10.0,1.0,-27.4,-2.74,26.7,100.0,0.00,0.00
06/28/2018 13:00,06/28/2018 15:02,EURUSD,Sell,0.01,1.15920,1.15590,0.0000,0.0000,33.0,3.30,0.04,00:02:01:59,0.9,1m,0.0,0.03,33.0,3.3000000000000003,0.0,0.0,100.0,100.0,0.00,0.00
06/27/2018 20:31,06/28/2018 12:42,EURUSD,Buy,0.04,1.15590,1.15950,0.0000,-1.6600,36.0,12.74,0.16,00:16:10:22,70.9,11h 27m,42.9,0.83,36.0,14.4,-30.0,-12.0,54.5,100.0,0.00,0.00
06/27/2018 16:59,06/28/2018 12:42,EURUSD,Buy,0.02,1.15950,1.15950,0.0000,-0.8300,0.0,-0.83,-0.01,00:19:42:13,0.0,0s,66.0,66.23,0.0,0.0,-66.0,-0.0,0.0,100.0,0.00,0.00
06/27/2018 13:16,06/28/2018 12:42,EURUSD,Buy,0.01,1.16200,1.15950,0.0000,-0.4200,-25.0,-2.92,-0.04,00:23:25:19,0.0,0s,91.0,91.74,0.0,0.0,-91.0,-9.1,0.0,72.5,-25.00,-2.50
06/26/2018 19:30,06/28/2018 12:42,EURUSD,Buy,0.01,1.16450,1.15950,0.0000,-0.5600,-50.0,-5.56,-0.07,01:17:12:03,27.8,11h 27m,140.7,4.70,24.7,2.47,-116.0,-11.600000000000001,17.6,46.9,-74.70,-7.47
06/25/2018 20:33,06/26/2018 10:20,EURUSD,Sell,0.01,1.17080,1.16730,0.0000,0.0100,35.0,3.51,0.04,00:13:47:10,67.0,9h 14m,20.0,0.30,35.8,3.58,-10.8,-1.08,76.8,98.3,-0.80,-0.08
06/25/2018 13:45,06/26/2018 10:20,EURUSD,Sell,0.01,1.16830,1.16730,0.0000,0.0100,10.0,1.01,0.01,00:20:35:46,17.1,3h 31m,34.9,3.23,10.8,1.08,-34.9,-3.49,23.6,98.2,-0.80,-0.08
06/25/2018 08:00,06/25/2018 13:15,EURUSD,Buy,0.01,1.16430,1.16780,0.0000,0.0000,35.0,3.50,0.04,00:05:15:28,96.2,5h 3m,23.6,0.09,35.0,3.5,-3.3,-0.33,91.4,100.0,0.00,0.00
06/22/2018 09:01,06/22/2018 16:27,EURUSD,Sell,0.04,1.16670,1.16250,0.0000,0.0000,42.0,16.80,0.21,00:07:25:58,,,,,,,,,,,,
06/21/2018 16:45,06/22/2018 16:27,EURUSD,Sell,0.02,1.16290,1.16250,0.0000,0.0300,4.0,0.83,0.01,00:23:42:34,,,,,,,,,,,,
06/21/2018 14:47,06/22/2018 16:27,EURUSD,Sell,0.01,1.16030,1.16250,0.0000,0.0100,-22.0,-2.19,-0.03,01:01:39:48,,,,,,,,,,,,
06/21/2018 14:45,06/22/2018 16:27,EURUSD,Sell,0.01,1.15720,1.16250,0.0000,0.0100,-53.0,-5.29,-0.07,01:01:42:40,,,,,,,,,,,,
06/21/2018 10:50,06/21/2018 14:37,EURUSD,Buy,0.02,1.15250,1.15700,0.0000,0.0000,45.0,9.00,0.11,00:03:47:03,,,,,,,,,,,,
06/21/2018 08:11,06/21/2018 14:37,EURUSD,Buy,0.01,1.15510,1.15700,0.0000,0.0000,19.0,1.90,0.02,00:06:26:10,,,,,,,,,,,,
06/20/2018 23:01,06/21/2018 14:37,EURUSD,Buy,0.01,1.15760,1.15700,0.0000,0.0000,-6.0,-0.60,-0.01,00:15:36:06,,,,,,,,,,,,
06/19/2018 10:28,06/20/2018 15:17,EURUSD,Buy,0.02,1.15550,1.15980,0.0000,-0.2500,43.0,8.35,0.11,01:04:48:13,94.6,1d 3h ,41.5,0.49,43.0,8.6,-21.0,-4.2,67.2,100.0,0.00,0.00
06/19/2018 09:00,06/20/2018 15:17,EURUSD,Buy,0.01,1.15800,1.15980,0.0000,-0.1300,18.0,1.67,0.02,01:06:16:58,36.7,11h 6m,46.0,2.56,18.0,1.8,-46.0,-4.6000000000000005,28.1,100.0,0.00,0.00
06/19/2018 08:17,06/20/2018 15:17,EURUSD,Buy,0.01,1.16060,1.15980,0.0000,-0.1300,-8.0,-0.93,-0.01,01:06:59:57,0.0,0s,72.0,72.46,0.0,0.0,-72.0,-7.2,0.0,88.9,-8.00,-0.80
06/19/2018 01:45,06/19/2018 08:17,EURUSD,Sell,0.01,1.16370,1.16040,0.0000,0.0000,33.0,3.30,0.04,00:06:31:55,89.8,5h 51m,12.1,0.17,36.3,3.63,-6.2,-0.6200000000000001,85.4,92.2,-3.30,-0.33
06/18/2018 02:15,06/19/2018 00:39,EURUSD,Buy,0.01,1.15910,1.16240,0.0000,-0.1300,33.0,3.17,0.04,00:22:24:40,82.5,18h 29m,30.8,0.73,33.2,3.3200000000000003,-24.2,-2.42,57.8,99.7,-0.20,-0.02
06/15/2018 11:15,06/15/2018 12:23,EURUSD,Sell,0.01,1.16070,1.15740,0.0000,0.0000,33.0,3.30,0.04,00:01:08:35,1.5,1m,0.0,0.03,33.0,3.3000000000000003,0.0,0.0,100.0,100.0,0.00,0.00
06/15/2018 08:06,06/15/2018 11:13,EURUSD,Buy,0.32,1.15490,1.16020,0.0000,0.0000,53.0,169.60,2.20,00:03:06:04,100.0,3h 6m,6.7,0.02,59.7,191.04000000000002,0.0,0.0,100.0,88.8,-6.70,-21.44
06/14/2018 22:09,06/15/2018 11:13,EURUSD,Buy,0.16,1.15840,1.16020,0.0000,-1.9900,18.0,26.81,0.35,00:13:03:18,33.9,4h 25m,40.6,1.64,24.7,39.52,-40.6,-64.96000000000001,37.8,89.7,-6.70,-10.72
06/14/2018 14:41,06/15/2018 11:13,EURUSD,Buy,0.01,1.17140,1.16020,0.0000,-0.1300,-112.0,-11.33,-0.15,00:20:31:55,0.0,0s,163.9,163.93,0.0,0.0,-163.9,-16.39,0.0,31.7,-112.00,-11.20
06/14/2018 18:31,06/15/2018 11:13,EURUSD,Buy,0.08,1.16190,1.16020,0.0000,-1.0000,-17.0,-14.60,-0.19,00:16:41:17,0.0,0s,75.6,75.76,0.0,0.0,-75.6,-60.48,0.0,77.5,-17.00,-13.60
06/14/2018 14:00,06/15/2018 11:13,EURUSD,Buy,0.01,1.17400,1.16020,0.0000,-0.1300,-138.0,-13.93,-0.18,00:21:13:02,0.0,0s,189.9,192.31,0.0,0.0,-189.9,-18.990000000000002,0.0,27.3,-138.00,-13.80
06/14/2018 14:55,06/15/2018 11:13,EURUSD,Buy,0.02,1.16880,1.16020,0.0000,-0.2500,-86.0,-17.45,-0.23,00:20:17:56,0.0,0s,137.9,138.89,0.0,0.0,-137.9,-27.580000000000002,0.0,37.6,-86.00,-17.20
06/14/2018 15:59,06/15/2018 11:13,EURUSD,Buy,0.04,1.16530,1.16020,0.0000,-0.5000,-51.0,-20.90,-0.27,00:19:13:03,0.0,0s,109.6,109.89,0.0,0.0,-109.6,-43.84,0.0,53.5,-51.00,-20.40
06/14/2018 13:45,06/14/2018 13:46,EURUSD,Sell,0.01,1.18480,1.18130,0.0000,0.0000,35.0,3.50,0.05,00:00:00:51,,,,,,,,,,,,
06/14/2018 10:45,06/14/2018 13:46,EURUSD,Sell,0.01,1.18230,1.18130,0.0000,0.0000,10.0,1.00,0.01,00:03:01:37,100.0,3h 1m,91.1,0.01,101.1,10.11,0.0,0.0,100.0,9.9,-91.10,-9.11
06/13/2018 20:15,06/13/2018 21:04,EURUSD,Buy,0.01,1.17520,1.17880,0.0000,0.0000,36.0,3.60,0.05,00:00:49:37,100.0,49m,6.0,0.02,42.0,4.2,0.0,0.0,100.0,85.7,-6.00,-0.60
06/13/2018 17:45,06/13/2018 20:04,EURUSD,Sell,0.01,1.17850,1.17510,0.0000,0.0000,34.0,3.40,0.04,00:02:19:44,30.3,42m,50.5,0.38,36.6,3.66,-13.9,-1.3900000000000001,72.5,94.9,-2.60,-0.26
06/12/2018 19:15,06/13/2018 17:40,EURUSD,Buy,0.01,1.17520,1.17850,0.0000,-0.1300,33.0,3.17,0.04,00:22:25:19,40.6,9h 6m,18.4,0.52,34.9,3.49,-18.3,-1.83,65.6,96.4,-1.90,-0.19
06/12/2018 09:30,06/12/2018 19:11,EURUSD,Sell,0.01,1.17970,1.17640,0.0000,0.0000,33.0,3.30,0.04,00:09:41:10,97.8,9h 28m,23.3,0.07,51.1,5.11,-3.4,-0.34,93.8,66.8,-18.10,-1.81
06/12/2018 02:02,06/12/2018 09:17,EURUSD,Buy,0.01,1.17490,1.17900,0.0000,0.0000,41.0,4.10,0.05,00:07:15:01,100.0,7h 15m,17.3,0.02,50.4,5.04,0.0,0.0,100.0,81.3,-9.40,-0.94
06/12/2018 00:15,06/12/2018 09:17,EURUSD,Buy,0.01,1.17800,1.17900,0.0000,0.0000,10.0,1.00,0.01,00:09:01:30,35.5,3h 12m,27.4,1.41,19.4,1.94,-27.4,-2.74,41.5,79.9,-9.40,-0.94
06/11/2018 09:12,06/11/2018 11:33,EURUSD,Sell,0.01,1.18160,1.17810,0.0000,0.0000,35.0,3.50,0.05,00:02:20:44,0.8,1m,0.0,0.03,35.0,3.5,0.0,0.0,100.0,100.0,0.00,0.00
06/11/2018 02:45,06/11/2018 11:33,EURUSD,Sell,0.01,1.17910,1.17810,0.0000,0.0000,10.0,1.00,0.01,00:08:48:07,41.9,3h 41m,29.8,2.35,12.4,1.2400000000000002,-29.1,-2.91,29.9,94.2,-2.40,-0.24
06/08/2018 12:49,06/11/2018 02:41,EURUSD,Buy,0.02,1.17440,1.17870,0.0000,-0.2500,43.0,8.35,0.11,02:13:52:02,100.0,2d 13h ,20.2,0.02,49.0,9.8,0.0,0.0,100.0,87.8,-6.00,-1.20
06/08/2018 09:38,06/11/2018 02:41,EURUSD,Buy,0.01,1.17690,1.17870,0.0000,-0.1300,18.0,1.67,0.02,02:17:03:22,89.2,2d 10h ,40.9,1.70,24.0,2.4000000000000004,-40.9,-4.09,37.0,90.8,-6.00,-0.60
06/08/2018 01:45,06/11/2018 02:41,EURUSD,Buy,0.01,1.17940,1.17870,0.0000,-0.1300,-7.0,-0.83,-0.01,03:00:56:08,4.4,3h 12m,78.0,3.85,16.1,1.6100000000000003,-61.9,-6.19,20.6,70.4,-23.10,-2.31
06/07/2018 13:12,06/08/2018 01:37,EURUSD,Sell,0.08,1.18380,1.17950,0.0000,0.1200,43.0,34.52,0.45,00:12:25:50,100.0,12h 25m,22.5,0.02,44.5,35.6,0.0,0.0,100.0,96.6,-1.50,-1.20
06/07/2018 07:44,06/08/2018 01:37,EURUSD,Sell,0.04,1.18040,1.17950,0.0000,0.0600,9.0,3.66,0.05,00:17:52:55,41.0,7h 19m,34.6,3.30,10.5,4.2,-34.6,-13.840000000000002,23.3,96.7,-1.50,-0.60
06/06/2018 08:31,06/08/2018 01:37,EURUSD,Sell,0.01,1.17440,1.17950,0.0000,0.0500,-51.0,-5.05,-0.07,01:17:06:04,0.0,0s,93.2,93.46,0.0,0.0,-93.2,-9.32,0.0,45.3,-51.00,-5.10
06/06/2018 10:07,06/08/2018 01:37,EURUSD,Sell,0.02,1.17690,1.17950,0.0000,0.1200,-26.0,-5.08,-0.07,01:15:30:41,5.5,2h 10m,74.8,10.34,6.6,1.32,-68.2,-13.64,8.8,56.4,-32.60,-6.52
06/05/2018 18:30,06/08/2018 01:37,EURUSD,Sell,0.01,1.17190,1.17950,0.0000,0.0600,-76.0,-7.54,-0.10,02:07:07:54,8.1,4h 27m,125.9,15.36,7.7,0.77,-118.2,-11.82,6.1,33.5,-83.70,-8.37
06/05/2018 15:03,06/05/2018 18:00,EURUSD,Buy,0.01,1.16600,1.16970,0.0000,0.0000,37.0,3.70,0.05,00:02:57:35,100.0,2h 57m,30.1,0.01,67.1,6.71,0.0,0.0,100.0,55.1,-30.10,-3.01
06/04/2018 17:36,06/05/2018 18:00,EURUSD,Buy,0.01,1.16850,1.16970,0.0000,-0.1300,12.0,1.07,0.01,01:00:24:07,78.9,19h 15m,58.5,0.88,34.4,3.44,-30.3,-3.0300000000000002,53.2,65.4,-22.40,-2.24
06/04/2018 11:24,06/04/2018 17:36,EURUSD,Sell,0.02,1.17280,1.16850,0.0000,0.0000,43.0,8.60,0.11,00:06:12:49,99.0,6h 9m,18.3,0.03,49.5,9.9,-1.7,-0.34,96.7,87.3,-6.50,-1.30
06/04/2018 09:19,06/04/2018 17:36,EURUSD,Sell,0.01,1.17030,1.16850,0.0000,0.0000,18.0,1.80,0.02,00:08:17:03,47.7,3h 57m,41.6,1.70,24.5,2.45,-41.6,-4.16,37.1,90.2,-6.50,-0.65
06/04/2018 02:15,06/04/2018 17:36,EURUSD,Sell,0.01,1.16780,1.16850,0.0000,0.0000,-7.0,-0.70,-0.01,00:15:21:37,0.3,2m,67.8,55.56,1.2,0.12,-66.6,-6.66,1.8,87.9,-8.20,-0.82
06/01/2018 00:31,06/01/2018 14:19,EURUSD,Sell,0.01,1.16990,1.16660,0.0000,0.0000,33.0,3.30,0.04,00:13:47:52,88.7,12h 14m,49.1,0.50,33.0,3.3000000000000003,-16.6,-1.6600000000000001,66.5,100.0,0.00,0.00
05/31/2018 16:00,05/31/2018 17:39,EURUSD,Buy,0.01,1.16510,1.16840,0.0000,0.0000,33.0,3.30,0.04,00:01:39:32,1.1,1m,0.0,0.03,33.0,3.3000000000000003,0.0,0.0,100.0,100.0,0.00,0.00
05/31/2018 08:52,05/31/2018 15:56,EURUSD,Sell,0.08,1.16960,1.16520,0.0000,0.0000,44.0,35.20,0.46,00:07:03:59,87.5,6h 10m,49.1,0.23,51.3,41.04,-11.8,-9.440000000000001,81.3,88.4,-7.30,-5.84
05/30/2018 17:32,05/31/2018 15:56,EURUSD,Sell,0.04,1.16620,1.16520,0.0000,0.1800,10.0,4.18,0.05,00:22:23:05,25.3,5h 39m,73.2,3.69,15.6,6.24,-57.6,-23.040000000000003,21.3,92.3,-5.60,-2.24
05/30/2018 12:58,05/31/2018 15:56,EURUSD,Sell,0.02,1.16260,1.16520,0.0000,0.0900,-26.0,-5.11,-0.07,01:02:57:25,4.7,1h 16m,121.6,3.34,28.0,5.6000000000000005,-93.6,-18.72,23.0,55.6,-54.00,-10.80
05/30/2018 09:55,05/31/2018 15:56,EURUSD,Sell,0.01,1.16000,1.16520,0.0000,0.0400,-52.0,-5.16,-0.07,01:06:00:23,0.3,5m,121.6,59.88,2.0,0.2,-119.6,-11.96,1.6,55.6,-54.00,-5.40
05/30/2018 08:30,05/31/2018 15:56,EURUSD,Sell,0.01,1.15750,1.16520,0.0000,0.0400,-77.0,-7.66,-0.10,01:07:26:00,0.0,0s,144.6,144.93,0.0,0.0,-144.6,-14.46,0.0,46.7,-77.00,-7.70
05/29/2018 19:15,05/30/2018 08:19,EURUSD,Buy,0.01,1.15370,1.15700,0.0000,-0.1300,33.0,3.17,0.04,00:13:04:10,68.8,8h 59m,29.0,0.45,39.5,3.95,-17.6,-1.7600000000000002,69.2,88.6,-6.50,-0.65
