Open Date,Close Date,Symbol,Action,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
09/30/2019 17:03,09/30/2019 17:27,EURUSD,Sell,0.00000,0.00000,1.09044,1.09117,0.0000,0.0000,-7.3,-810.30,-0.64,0,00:00:24:02,60.0,14m,8.6,5.62,1.3,144.3,-7.3,-810.3,15.1,0.0,-8.60,-954.60
09/30/2019 05:29,09/30/2019 05:44,NZDUSD,Sell,0.00000,0.00000,0.62692,0.62665,0.0000,0.0000,2.7,299.70,0.24,0,00:00:15:01,,,,,,,,,,,,
09/30/2019 04:45,09/30/2019 05:25,USDJPY,Sell,0.00000,0.00000,107.99000,107.93800,0.0000,0.0000,5.2,534.75,0.43,0,00:00:40:06,100.0,40m,11.7,0.06,16.9,1737.9959999999999,0.0,0.0,100.0,30.8,-11.70,-1203.23
09/27/2019 18:13,09/27/2019 18:27,EURUSD,Sell,0.00000,0.00000,1.09530,1.09487,0.0000,0.0000,4.3,477.30,0.38,0,00:00:14:03,,,,,,,,,,,,
09/27/2019 17:16,09/27/2019 17:24,USDCAD,Buy,0.00000,0.00000,1.32377,1.32441,0.0000,0.0000,6.4,536.38,0.43,0,00:00:08:01,,,,,,,,,,,,
09/27/2019 17:01,09/27/2019 17:12,USDCHF,Buy,0.00000,0.00000,0.99250,0.99216,0.0000,0.0000,-3.4,-380.38,-0.31,0,00:00:11:01,,,,,,,,,,,,
09/27/2019 04:04,09/27/2019 04:24,USDCAD,Buy,0.00000,0.00000,1.32641,1.32685,0.0000,0.0000,4.4,368.80,0.30,0,00:00:20:01,100.0,20m,0.3,0.23,4.4,368.808,0.0,0.0,100.0,100.0,0.00,0.00
09/27/2019 03:27,09/27/2019 03:44,NZDUSD,Buy,0.00000,0.00000,0.62894,0.62822,0.0000,0.0000,-7.2,-799.20,-0.64,0,00:00:17:02,,,,,,,,,,,,
09/26/2019 18:29,09/26/2019 18:40,USDCHF,Buy,0.00000,0.00000,0.99201,0.99269,0.0000,0.0000,6.8,760.35,0.61,0,00:00:11:01,,,,,,,,,,,,
09/26/2019 17:56,09/26/2019 18:07,USDJPY,Sell,0.00000,0.00000,107.69100,107.64800,0.0000,0.0000,4.3,443.30,0.36,0,00:00:11:01,,,,,,,,,,,,
09/26/2019 17:45,09/26/2019 17:54,USDCAD,Buy,0.00000,0.00000,1.32601,1.32527,0.0000,0.0000,-7.4,-619.79,-0.50,0,00:00:09:02,,,,,,,,,,,,
09/26/2019 11:05,09/26/2019 11:25,GBPUSD,Sell,0.00000,0.00000,1.23426,1.23318,0.0000,0.0000,10.8,230.04,0.19,0,00:00:20:02,25.0,5m,2.7,0.25,10.8,230.04000000000002,-2.7,-57.510000000000005,80.0,100.0,0.00,0.00
09/26/2019 08:37,09/26/2019 09:04,GBPUSD,Buy,0.00000,0.00000,1.23595,1.23657,0.0000,0.0000,6.2,688.20,0.56,0,00:00:27:03,20.0,5m,32.8,5.29,6.2,688.2,-32.8,-3640.7999999999997,15.9,100.0,0.00,0.00
09/26/2019 04:35,09/26/2019 04:45,AUDUSD,Sell,0.00000,0.00000,0.67495,0.67531,0.0000,0.0000,-3.6,-399.60,-0.32,0,00:00:10:02,,,,,,,,,,,,
09/25/2019 21:10,09/25/2019 21:38,USDCAD,Buy,0.00000,0.00000,1.32621,1.32560,0.0000,0.0000,-6.1,-510.78,-0.41,0,00:00:28:01,,,,,,,,,,,,
09/25/2019 20:05,09/25/2019 20:13,GBPUSD,Buy,0.00000,0.00000,1.23541,1.23593,0.0000,0.0000,5.2,577.20,0.47,0,00:00:08:01,,,,,,,,,,,,
09/25/2019 17:54,09/25/2019 18:03,USDJPY,Sell,0.00000,0.00000,107.78000,107.72500,0.0000,0.0000,5.5,566.72,0.46,0,00:00:09:01,,,,,,,,,,,,
09/24/2019 20:17,09/24/2019 21:11,AUDUSD,Buy,0.00000,0.00000,0.68012,0.67953,0.0000,0.0000,-5.9,-654.90,-0.53,0,00:00:54:05,,,,,,,,,,,,
09/24/2019 17:20,09/24/2019 17:51,EURUSD,Sell,0.00000,0.00000,1.10065,1.10014,0.0000,0.0000,5.1,577.20,0.47,0,00:00:31:01,,,,,,,,,,,,
09/24/2019 15:14,09/24/2019 15:39,GBPUSD,Buy,0.00000,0.00000,1.24826,1.24763,0.0000,0.0000,-6.3,-699.30,-0.56,0,00:00:25:01,,,,,,,,,,,,
09/24/2019 06:51,09/24/2019 07:35,NZDUSD,Buy,0.00000,0.00000,0.62931,0.62976,0.0000,0.0000,4.5,499.50,0.40,0,00:00:44:01,,,,,,,,,,,,
09/23/2019 20:12,09/23/2019 20:26,EURUSD,Sell,0.00000,0.00000,1.09885,1.09936,0.0000,0.0000,-5.1,-566.10,-0.46,0,00:00:14:05,,,,,,,,,,,,
09/23/2019 18:32,09/23/2019 19:05,AUDUSD,Sell,0.00000,0.00000,0.67755,0.67717,0.0000,0.0000,3.8,421.80,0.34,0,00:00:33:01,,,,,,,,,,,,
09/23/2019 16:36,09/23/2019 16:51,NZDUSD,Buy,0.00000,0.00000,0.62740,0.62787,0.0000,0.0000,4.7,521.70,0.42,0,00:00:15:02,,,,,,,,,,,,
09/20/2019 05:25,09/20/2019 06:53,NZDUSD,Buy,0.00000,0.00000,0.62859,0.62921,0.0000,0.0000,6.2,688.20,0.56,0,00:01:28:04,100.0,1h 28m,10.0,0.06,16.2,1798.1999999999998,0.0,0.0,100.0,38.3,-10.00,-1110.00
09/20/2019 03:49,09/20/2019 04:57,GBPUSD,Buy,0.00000,0.00000,1.25209,1.25305,0.0000,0.0000,9.6,1065.60,0.88,0,00:01:08:07,100.0,1h 8m,27.2,0.03,36.8,4084.7999999999997,0.0,0.0,100.0,26.1,-27.20,-3019.20
09/20/2019 02:12,09/20/2019 03:29,EURUSD,Sell,0.00000,0.00000,1.10441,1.10522,0.0000,0.0000,-8.1,-899.10,-0.73,0,00:01:17:06,0.0,0s,14.7,14.71,0.0,0.0,-14.7,-1631.6999999999998,0.0,44.9,-8.10,-899.10
09/20/2019 00:24,09/20/2019 01:51,NZDUSD,Sell,0.00000,0.00000,0.63034,0.63009,0.0000,0.0000,2.5,277.50,0.23,0,00:01:26:24,100.0,1h 26m,12.0,0.07,14.5,1609.5,0.0,0.0,100.0,17.2,-12.00,-1332.00
09/19/2019 21:51,09/20/2019 00:39,AUDUSD,Sell,0.00000,0.00000,0.67999,0.67949,0.0000,0.0000,5.0,-555.00,-0.45,0,00:02:48:06,100.0,2h 48m,12.7,0.06,17.7,-1964.6999999999998,0.0,-0.0,100.0,28.2,-12.70,1409.70
