Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit
10/16/2019 10:29,10/16/2019 19:45,EURUSD,Buy,6,0,0,1.10359,1.10848,-12,0,48.9,2634.87
10/16/2019 10:29,10/16/2019 19:45,EURUSD,Buy,6,0,0,1.10356,1.10846,-12,0,49,2640.33
10/16/2019 10:35,10/16/2019 19:45,EURUSD,Buy,6,0,0,1.10343,1.10846,-12,0,50.3,2710.7
10/16/2019 10:35,10/16/2019 19:45,EURUSD,Buy,6,0,0,1.10331,1.10844,-12,0,51.3,2764.88
10/16/2019 11:06,10/16/2019 19:45,EURUSD,Buy,6,0,0,1.10312,1.10851,-12,0,53.9,2905.43
10/16/2019 11:08,10/16/2019 19:45,EURUSD,Buy,6,0,0,1.1031,1.1085,-12,0,54,2910.87
10/16/2019 11:08,10/16/2019 19:43,EURUSD,Buy,6,0,0,1.10299,1.1084,-12,0,54.1,2916.55
10/16/2019 12:02,10/16/2019 19:43,EURUSD,Buy,6,0,0,1.10277,1.1084,-12,0,56.3,3035.64
10/16/2019 12:03,10/16/2019 19:43,EURUSD,Buy,6,0,0,1.1028,1.10842,-12,0,56.2,3030.17
10/16/2019 12:17,10/16/2019 19:43,EURUSD,Buy,6,0,0,1.10258,1.1084,-12,0,58.2,3138.49
10/16/2019 19:40,10/16/2019 19:40,EURUSD,Sell,6,0,0,1.10829,1.1081,-12,0,1.9,90.88
10/16/2019 19:29,10/16/2019 19:38,EURUSD,Sell,6,0,0,1.10825,1.10801,-12,0,2.4,117.96
10/16/2019 09:20,10/16/2019 09:54,EURUSD,Sell,6,0,0,1.10492,1.10463,-12,0,2.9,145.52
10/11/2019 10:21,10/15/2019 23:58,EURUSD,Buy,6,0,0,1.10133,1.10321,-12,-134.67,18.8,875.8
10/11/2019 10:23,10/15/2019 23:58,EURUSD,Buy,6,0,0,1.10122,1.10321,-12,-134.67,19.9,935.63
10/11/2019 10:23,10/15/2019 23:58,EURUSD,Buy,6,0,0,1.10108,1.10324,-12,-134.67,21.6,1028.05
10/11/2019 10:25,10/15/2019 23:58,EURUSD,Buy,6,0,0,1.10101,1.10323,-12,-134.67,22.2,1060.69
10/11/2019 10:39,10/15/2019 23:58,EURUSD,Buy,6,0,0,1.10118,1.10324,-12,-134.67,20.6,973.67
10/11/2019 11:26,10/15/2019 23:57,EURUSD,Buy,6,0,0,1.1007,1.10325,-12,-134.67,25.5,1240.14
09/20/2019 17:54,10/15/2019 23:57,EURUSD,Buy,6,0,0,1.1006,1.10329,-12,-1621.57,26.9,-170.67
09/20/2019 18:29,10/15/2019 23:57,EURUSD,Buy,6,0,0,1.10011,1.1033,-12,-1621.57,31.9,101.23
10/11/2019 11:29,10/15/2019 23:55,EURUSD,Buy,6,0,0,1.10053,1.10333,-12,-134.67,28,1375.99
10/11/2019 11:29,10/15/2019 23:55,EURUSD,Buy,6,0,0,1.10048,1.10333,-12,-134.67,28.5,1403.18
10/11/2019 17:53,10/15/2019 23:54,EURUSD,Buy,6,0,0,1.10261,1.10339,-12,-134.67,7.8,277.48
10/15/2019 10:15,10/15/2019 23:54,EURUSD,Buy,6,0,0,1.1019,1.10339,-12,0,14.9,798.23
10/15/2019 10:15,10/15/2019 23:54,EURUSD,Buy,6,0,0,1.10189,1.10337,-12,0,14.8,792.81
10/15/2019 10:18,10/15/2019 23:53,EURUSD,Buy,6,0,0,1.10168,1.10339,-12,0,17.1,917.86
10/15/2019 10:18,10/15/2019 23:53,EURUSD,Buy,6,0,0,1.10148,1.1034,-12,0,19.2,1032.05
10/15/2019 12:37,10/15/2019 23:52,EURUSD,Buy,6,0,0,1.10082,1.1034,-12,0,25.8,1390.94
10/15/2019 16:19,10/15/2019 23:51,EURUSD,Buy,6,0,0,1.09961,1.10347,-12,0,38.6,2086.83
10/14/2019 09:53,10/14/2019 23:56,EURUSD,Buy,6,0,0,1.10196,1.10257,-12,0,6.1,319.95
10/14/2019 09:56,10/14/2019 23:56,EURUSD,Buy,6,0,0,1.10143,1.10257,-12,0,11.4,608.37
10/11/2019 13:46,10/11/2019 17:45,EURUSD,Sell,6,0,0,1.10393,1.10361,-12,0,3.2,161.97
10/11/2019 14:10,10/11/2019 15:44,EURUSD,Sell,6,0,0,1.10403,1.10396,-12,0,0.7,26.04
10/11/2019 14:31,10/11/2019 15:44,EURUSD,Sell,6,0,0,1.10613,1.10397,-12,0,21.6,1161.94
10/11/2019 14:27,10/11/2019 15:43,EURUSD,Sell,6,0,0,1.10607,1.10402,-12,0,20.5,1102.11
10/10/2019 10:05,10/11/2019 11:27,EURUSD,Sell,6,0,0,1.10083,1.1007,-12,28.4,1.3,87.26
10/10/2019 10:06,10/11/2019 11:27,EURUSD,Sell,6,0,0,1.10103,1.10069,-12,28.4,3.4,201.74
10/10/2019 10:06,10/11/2019 10:53,EURUSD,Sell,6,0,0,1.10135,1.10106,-12,28.4,2.9,174.43
10/10/2019 11:08,10/11/2019 10:52,EURUSD,Sell,6,0,0,1.10184,1.10103,-12,28.4,8.1,457.8
10/10/2019 12:44,10/11/2019 10:43,EURUSD,Sell,6,0,0,1.10281,1.10104,-12,28.4,17.7,980.94
09/20/2019 18:43,10/10/2019 19:01,EURUSD,Buy,6,0,0,1.09965,1.10218,-12,-1419.41,25.3,-54.14
09/23/2019 10:31,10/10/2019 19:01,EURUSD,Buy,6,0,0,1.09879,1.10234,-12,-1342.47,35.5,577.78
09/23/2019 10:31,10/10/2019 19:01,EURUSD,Buy,6,0,0,1.09845,1.10224,-12,-1342.47,37.9,708.6
09/23/2019 10:39,10/10/2019 19:01,EURUSD,Buy,6,0,0,1.09749,1.10226,-12,-1342.47,47.7,1242.01
09/23/2019 10:44,10/10/2019 19:01,EURUSD,Buy,6,0,0,1.09674,1.10221,-12,-1342.47,54.7,1623.18
09/25/2019 10:16,10/10/2019 19:01,EURUSD,Buy,6,0,0,1.09959,1.10217,-12,-1188.42,25.8,204.08
09/23/2019 10:39,10/10/2019 19:01,EURUSD,Buy,6,0,0,1.09741,1.10215,-12,-1342.47,47.4,1225.94
09/25/2019 14:55,10/10/2019 19:01,EURUSD,Buy,6,0,0,1.09834,1.10212,-12,-1188.42,37.8,857.43
09/25/2019 14:56,10/10/2019 17:14,EURUSD,Buy,6,0,0,1.09793,1.1023,-12,-1188.42,43.7,1178.24
10/07/2019 09:02,10/10/2019 17:13,EURUSD,Buy,6,0,0,1.09763,1.1023,-12,-339.19,46.7,2190.77
09/25/2019 17:17,10/09/2019 22:44,EURUSD,Buy,6,0,0,1.09725,1.09784,-12,-985.29,5.9,-674.84
09/25/2019 17:21,10/09/2019 22:44,EURUSD,Buy,6,0,0,1.09673,1.09774,-12,-985.29,10.1,-445.25
10/07/2019 10:20,10/09/2019 20:41,EURUSD,Buy,6,0,0,1.09738,1.09809,-12,-136.06,7.1,239.89
09/25/2019 18:59,10/09/2019 19:57,EURUSD,Buy,6,0,0,1.09488,1.09743,-12,-985.29,25.5,396.88
09/25/2019 17:55,10/09/2019 19:57,EURUSD,Buy,6,0,0,1.09555,1.09744,-12,-985.29,18.9,36.02
