Open Date,Close Date,Symbol,Action,Lots,Open Price,Close Price,Commission,Swap,Pips
12/23/2019 08:18,12/23/2019 10:00,USDJPY,Sell,0.5,109.412,109.396,-3.5,0,1.6
12/23/2019 08:18,12/23/2019 09:48,USDJPY,Sell,0.5,109.412,109.377,-3.5,0,3.5
12/23/2019 01:00,12/23/2019 08:29,GBPUSD,Buy,0.5,1.29985,1.30192,-3.5,0,20.7
12/23/2019 01:00,12/23/2019 06:17,GBPUSD,Buy,0.5,1.29988,1.30124,-3.5,0,13.6
12/23/2019 01:04,12/23/2019 06:17,GBPUSD,Buy,0.5,1.30001,1.30125,-3.5,0,12.4
12/19/2019 23:54,12/23/2019 06:07,USDJPY,Sell,0.5,109.368,109.404,-3.5,-7.28,-3.6
12/19/2019 23:54,12/23/2019 06:07,USDJPY,Sell,0.5,109.368,109.401,-3.5,-7.28,-3.3
12/20/2019 17:57,12/23/2019 05:58,USDJPY,Sell,0.5,109.405,109.386,-3.5,-3.64,1.9
12/23/2019 01:40,12/23/2019 05:55,USDJPY,Sell,0.5,109.521,109.397,-3.5,0,12.4
12/23/2019 01:30,12/23/2019 05:55,USDJPY,Sell,0.5,109.527,109.397,-3.5,0,13
12/20/2019 15:35,12/20/2019 17:58,USDJPY,Sell,0.5,109.332,109.451,-3.5,0,-11.9
12/20/2019 15:35,12/20/2019 17:58,USDJPY,Sell,0.5,109.33,109.451,-3.5,0,-12.1
12/19/2019 23:54,12/20/2019 17:00,USDJPY,Sell,0.5,109.368,109.433,-3.5,-3.64,-6.5
12/20/2019 08:04,12/20/2019 17:00,USDJPY,Sell,0.5,109.316,109.429,-3.5,0,-11.3
12/19/2019 23:18,12/20/2019 17:00,USDJPY,Sell,0.5,109.323,109.423,-3.5,-3.64,-10
12/20/2019 11:40,12/20/2019 15:30,XAUUSD,Buy,0.3,1478.3,1478.05,-2.1,0,-25
12/20/2019 11:07,12/20/2019 15:30,USDCAD,Sell,0.5,1.31369,1.31708,-3.5,0,-33.9
12/20/2019 11:12,12/20/2019 15:30,USDCAD,Sell,0.5,1.31366,1.31708,-3.5,0,-34.2
