Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2020.01.14 20:00:00;Sell;0.04;GBPCHF;1.26054;1.26873;1.25137;2020.01.14 23:45:01;1.25975;-0.28;;3.27;
2020.01.14 20:15:07;Sell;0.01;GBPUSD;1.30254;1.31101;1.29193;2020.01.14 23:00:02;1.30212;-0.07;;0.42;
2020.01.14 20:30:03;Sell;0.04;CHFJPY;113.782;114.522;112.811;2020.01.14 23:00:00;113.677;-0.28;;3.82;
2020.01.14 20:00:00;Buy;0.02;AUDCAD;0.90111;0.89526;0.90456;2020.01.14 22:00:01;0.90136;-0.14;;0.38;
2020.01.13 20:00:00;Sell;0.02;GBPCAD;1.69559;1.70670;1.68486;2020.01.14 09:00:00;1.69540;-0.14;0.04;0.29;
2020.01.13 22:00:00;Sell;0.04;GBPNZD;1.95995;1.97274;1.94701;2020.01.14 06:15:54;1.95988;-0.28;0.05;0.19;
2020.01.13 21:00:01;Buy;0.02;AUDCAD;0.90161;0.89575;0.90484;2020.01.14 06:15:00;0.90141;-0.14;-0.03;-0.31;
2020.01.13 21:00:00;Sell;0.02;GBPAUD;1.88073;1.89289;1.86867;2020.01.14 06:00:00;1.88300;-0.14;0.02;-3.14;
2020.01.13 23:30:00;Buy;0.01;GBPUSD;1.29899;1.29053;1.31169;2020.01.14 03:00:00;1.29942;-0.07;-0.04;0.43;
2020.01.13 22:00:00;Buy;0.04;CHFJPY;113.242;112.505;113.783;2020.01.14 02:15:00;113.391;-0.28;-0.10;5.41;
2020.01.13 21:45:04;Sell;0.04;GBPCHF;1.26141;1.26961;1.25241;2020.01.13 23:30:00;1.26118;-0.28;;0.95;
2020.01.13 20:00:00;Sell;0.01;GBPUSD;1.29952;1.30797;1.29066;2020.01.13 23:15:00;1.29924;-0.07;;0.28;
2020.01.13 22:00:00;Buy;0.02;NZDCAD;0.86527;0.85965;0.87029;2020.01.13 23:00:00;0.86629;-0.14;;1.56;
2020.01.13 20:15:00;Sell;0.02;NZDCAD;0.86627;0.87190;0.86173;2020.01.13 22:00:01;0.86531;-0.14;;1.47;
2020.01.13 01:30:01;Buy;0.02;GBPAUD;1.88886;1.87656;1.91661;2020.01.13 12:45:00;1.88300;-0.14;;-8.08;
2020.01.09 22:45:00;Buy;0.04;CHFJPY;112.503;111.772;113.094;2020.01.10 06:30:03;112.563;-0.28;-0.10;2.19;
2020.01.09 21:30:01;Buy;0.02;NZDCAD;0.86443;0.85881;0.87037;2020.01.10 06:15:11;0.86429;-0.14;-0.03;-0.22;
2020.01.10 01:00:00;Sell;0.02;GBPAUD;1.90658;1.91915;1.89100;2020.01.10 05:00:00;1.90396;-0.14;;3.60;
2020.01.09 22:45:03;Sell;0.04;GBPNZD;1.97647;1.98932;1.95856;2020.01.10 05:00:00;1.97572;-0.28;0.04;1.99;
2020.01.09 22:15:01;Sell;0.04;GBPCHF;1.27099;1.27925;1.26113;2020.01.10 03:45:00;1.27156;-0.28;-0.28;-2.34;
2020.01.09 22:30:01;Sell;0.01;GBPUSD;1.30643;1.31492;1.29576;2020.01.10 03:30:00;1.30652;-0.07;0.03;-0.09;
2020.01.09 21:00:00;Buy;0.02;AUDCAD;0.89640;0.89056;0.89994;2020.01.10 02:30:00;0.89696;-0.14;-0.03;0.86;
2020.01.09 22:15:00;Buy;0.02;EURCAD;1.45196;1.44252;1.45839;2020.01.10 02:00:00;1.45117;-0.14;-0.16;-1.21;
2020.01.09 21:00:00;Buy;0.02;GBPCAD;1.70781;1.69671;1.71765;2020.01.10 02:00:00;1.70722;-0.14;-0.09;-0.90;
2020.01.09 20:30:00;Buy;0.04;GBPNZD;1.97484;1.96197;1.98438;2020.01.09 22:45:04;1.97647;-0.28;;4.31;
2020.01.08 23:30:00;Sell;0.02;EURCAD;1.44852;1.45794;1.44339;2020.01.09 22:15:01;1.45196;-0.14;0.24;-5.26;
