Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
,08/26/2019 09:56,10/18/2019 15:08,EURUSD,Buy,6.00,0.00000,0.00000,1.11382,1.11448,-12.0000,-3617.5600,6.6,-3274.24,-0.30,"",0,53:05:11:59,0.3,3h 49m,257.8,28.41,9.1,489.944,-257.8,-13879.952000000001,3.4,99.1,-2.50,-134.60
,08/26/2019 09:56,10/18/2019 15:08,EURUSD,Buy,6.00,0.00000,0.00000,1.11377,1.11449,-12.0000,-3617.5600,7.2,-3241.94,-0.29,"",0,53:05:11:45,0.3,3h 49m,257.3,26.81,9.6,516.864,-257.3,-13853.032000000001,3.6,99.1,-2.40,-129.22
,08/26/2019 10:01,10/18/2019 15:07,EURUSD,Buy,6.00,0.00000,0.00000,1.11322,1.11449,-12.0000,-3617.5600,12.7,-2945.84,-0.27,"",0,53:05:06:42,0.3,3h 49m,251.8,16.69,15.1,812.984,-251.8,-13556.912000000002,5.7,99.1,-2.40,-129.22
,08/26/2019 10:02,10/18/2019 15:07,EURUSD,Buy,6.00,0.00000,0.00000,1.11285,1.11446,-12.0000,-3617.5600,16.1,-2762.77,-0.25,"",0,53:05:05:37,0.5,6h 23m,248.1,13.21,18.8,1012.1920000000001,-248.1,-13357.704,7.0,99.0,-2.70,-145.37
,08/26/2019 10:50,10/18/2019 15:07,EURUSD,Buy,6.00,0.00000,0.00000,1.11188,1.11450,-12.0000,-3617.5600,26.2,-2219.06,-0.20,"",0,53:04:17:12,1.9,1d ,239.8,8.37,28.5,1534.44,-238.4,-12835.456000000002,10.7,99.1,-2.30,-123.83
,08/26/2019 11:30,10/18/2019 15:07,EURUSD,Buy,6.00,0.00000,0.00000,1.11126,1.11448,-12.0000,-3617.5600,32.2,-1896.02,-0.17,"",0,53:03:37:13,2.7,1d 10h ,239.8,6.69,34.7,1868.2480000000003,-232.2,-12501.648000000001,13.0,99.1,-2.50,-134.60
,08/26/2019 21:41,10/18/2019 15:07,EURUSD,Buy,6.00,0.00000,0.00000,1.10963,1.11450,-12.0000,-3617.5600,48.7,-1007.76,-0.09,"",0,52:17:25:30,4.1,2d 3h ,233.0,4.23,51.0,2745.84,-215.9,-11624.056,19.1,99.1,-2.30,-123.83
,08/27/2019 18:16,10/18/2019 15:07,EURUSD,Buy,6.00,0.00000,0.00000,1.10912,1.11449,-12.0000,-3560.2100,53.7,-681.20,-0.06,"",0,51:20:50:22,3.4,1d 18h ,222.1,3.76,56.1,3020.4240000000004,-210.8,-11349.472000000002,21.0,99.1,-2.40,-129.22
,08/28/2019 14:55,10/18/2019 15:06,EURUSD,Buy,6.00,0.00000,0.00000,1.10838,1.11450,-12.0000,-3502.8100,61.2,-220.06,-0.02,"",0,51:00:11:27,3.5,1d 18h ,222.1,3.20,63.5,3418.84,-203.4,-10951.056,23.8,99.1,-2.30,-123.83
,08/29/2019 14:21,10/18/2019 15:03,EURUSD,Buy,6.00,0.00000,0.00000,1.10711,1.11451,-12.0000,-3327.0900,74.0,644.72,0.06,"",0,50:00:41:11,10.0,5d ,222.1,2.50,76.2,4102.608,-190.7,-10267.288,28.6,99.2,-2.20,-118.45
