Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price
11/28/2017 00:00,11/28/2017 01:12,EURUSD,Buy,12.7,0,0,1.18997,1.1902
11/21/2017 00:00,11/21/2017 01:53,EURUSD,Buy,12.7,0,0,1.17348,1.17369
11/14/2017 00:00,11/14/2017 02:30,EURUSD,Buy,12.7,0,0,1.16686,1.16706
11/07/2017 00:00,11/09/2017 13:23,EURUSD,Buy,12.7,0,0,1.16132,1.16157
10/31/2017 00:00,10/31/2017 01:57,EURUSD,Buy,12.7,0,0,1.165,1.1652
10/24/2017 01:00,10/24/2017 02:17,EURUSD,Buy,12.7,0,0,1.17499,1.17525
10/17/2017 01:00,10/18/2017 21:28,EURUSD,Buy,12.7,0,0,1.17977,1.17996
10/10/2017 01:00,10/10/2017 03:05,EURUSD,Buy,12.7,0,0,1.1742,1.1744
10/03/2017 01:00,10/03/2017 01:27,EURUSD,Buy,12.7,0,0,1.17336,1.17358
09/26/2017 01:00,09/26/2017 01:14,EURUSD,Buy,12.7,0,0,1.18475,1.18496
09/19/2017 01:00,09/19/2017 01:40,EURUSD,Buy,12.7,0,0,1.19537,1.19558
09/12/2017 01:00,09/12/2017 01:06,EURUSD,Buy,12.7,0,0,1.19564,1.19583
09/05/2017 01:00,09/05/2017 04:02,EURUSD,Buy,12.7,0,0,1.18993,1.19013
08/31/2017 01:00,08/31/2017 04:02,EURUSD,Buy,12.7,0,0,1.18942,1.18965
08/29/2017 01:00,08/29/2017 01:09,EURUSD,Buy,12.7,0,0,1.198,1.19821
08/22/2017 01:00,08/22/2017 01:05,EURUSD,Buy,12.7,0,0,1.18146,1.18164
08/15/2017 01:00,08/15/2017 01:41,EURUSD,Buy,12.7,0,0,1.17771,1.17795
08/01/2017 01:00,08/02/2017 09:58,EURUSD,Buy,12.7,0,0,1.18368,1.18391
07/25/2017 01:00,07/25/2017 04:08,EURUSD,Buy,12.7,0,0,1.1638,1.16404
07/18/2017 01:00,07/18/2017 03:34,EURUSD,Buy,12.5,0,0,1.14797,1.14821
07/06/2017 01:00,07/06/2017 01:24,EURUSD,Buy,12.5,0,0,1.13518,1.13538
07/04/2017 01:00,07/04/2017 01:29,EURUSD,Buy,12.5,0,0,1.13649,1.13669
06/27/2017 01:00,06/27/2017 04:08,EURUSD,Buy,12.5,0,0,1.11836,1.11854
06/20/2017 01:00,06/20/2017 01:41,EURUSD,Buy,12,0,0,1.11506,1.11526
06/15/2017 01:00,06/15/2017 03:53,EURUSD,Buy,12,0,0,1.12183,1.12204
06/13/2017 01:00,06/13/2017 10:29,EURUSD,Buy,12,0,0,1.12069,1.12088
06/06/2017 01:00,06/06/2017 01:10,EURUSD,Buy,12,0,0,1.12557,1.1258
05/30/2017 01:00,05/30/2017 12:25,EURUSD,Buy,12,0,0,1.11535,1.11557
05/18/2017 01:00,05/18/2017 04:04,EURUSD,Buy,12,0,0,1.11664,1.11684
05/11/2017 01:00,05/11/2017 03:54,EURUSD,Buy,12,0,0,1.08699,1.0872
05/04/2017 01:00,05/04/2017 01:46,EURUSD,Buy,12,0,0,1.08873,1.08894
04/27/2017 01:00,04/27/2017 01:37,EURUSD,Buy,12,0,0,1.09049,1.09069
04/25/2017 01:00,04/25/2017 01:42,EURUSD,Buy,12,0,0,1.08665,1.08683
04/20/2017 01:00,04/20/2017 01:10,EURUSD,Buy,12,0,0,1.07106,1.07129
04/13/2017 01:00,04/13/2017 05:27,EURUSD,Buy,11,0,0,1.06692,1.06718
04/06/2017 01:00,04/06/2017 01:38,EURUSD,Buy,11,0,0,1.06686,1.06706
03/30/2017 23:43,03/31/2017 23:15,EURUSD,Sell,77,0,0,1.06758,1.0663
03/30/2017 01:00,03/30/2017 23:43,EURUSD,Buy,11,0,0,1.07677,1.06758
03/23/2017 00:00,03/23/2017 00:53,EURUSD,Buy,11,0,0,1.07935,1.07954
03/16/2017 00:00,03/16/2017 02:02,EURUSD,Buy,11,0,0,1.07375,1.07398
03/09/2017 00:00,03/09/2017 01:47,EURUSD,Buy,11,0,0,1.05423,1.05442
03/02/2017 00:00,03/02/2017 00:08,EURUSD,Buy,11,0,0,1.05476,1.05497
02/23/2017 00:00,02/23/2017 00:18,EURUSD,Buy,11,0,0,1.05608,1.05629
02/16/2017 00:00,02/16/2017 01:57,EURUSD,Buy,11,0,0,1.06012,1.06028
02/02/2017 00:00,02/02/2017 02:12,EURUSD,Buy,11,0,0,1.07711,1.07731
01/31/2017 00:00,01/31/2017 00:19,EURUSD,Buy,11,0,0,1.06961,1.06936
01/26/2017 00:00,01/26/2017 00:04,EURUSD,Buy,11,0,0,1.07512,1.07534
01/19/2017 00:00,01/19/2017 00:34,EURUSD,Buy,11,0,0,1.06312,1.06336
01/12/2017 00:00,01/12/2017 01:34,EURUSD,Buy,11,0,0,1.05837,1.05867
01/05/2017 00:00,01/05/2017 01:52,EURUSD,Buy,11,0,0,1.04896,1.0492
12/27/2016 00:00,12/27/2016 00:34,EURUSD,Buy,11,0,0,1.04559,1.04579
12/20/2016 00:00,12/20/2016 02:34,EURUSD,Buy,11,0,0,1.04031,1.04052
12/13/2016 00:00,12/13/2016 00:05,EURUSD,Buy,11,0,0,1.0635,1.06366
12/01/2016 00:00,12/01/2016 00:15,EURUSD,Buy,11,0,0,1.05915,1.05943
11/24/2016 00:00,11/24/2016 10:41,EURUSD,Buy,11,0,0,1.05558,1.05582
11/17/2016 00:00,11/17/2016 00:29,EURUSD,Buy,11,0,0,1.06928,1.06947
11/08/2016 00:00,11/08/2016 00:21,EURUSD,Buy,11,0,0,1.10418,1.10439
11/01/2016 00:00,11/01/2016 09:41,EURUSD,Buy,11,0,0,1.09775,1.09795
10/25/2016 01:00,10/25/2016 04:42,EURUSD,Buy,11,0,0,1.08748,1.08767
