Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %
07/24/2019 14:12,07/24/2019 15:14,EURUSD,Sell,1.00,1.11732,1.11218,1.11489,1.11412,7.7,77.00,00:01:02:00,0.18
07/24/2019 12:32,07/24/2019 14:05,EURUSD,Buy,1.00,1.11264,1.11644,1.11391,1.11505,11.4,114.00,00:01:33:00,0.27
07/24/2019 11:25,07/24/2019 14:01,EURUSD,Buy,1.00,1.11180,1.11862,1.11404,1.11542,13.8,138.00,00:02:36:00,0.32
07/24/2019 10:08,07/24/2019 10:56,EURUSD,Sell,1.00,1.11655,1.11046,1.11516,1.11351,16.5,165.00,00:00:48:00,0.39
07/24/2019 04:23,07/24/2019 09:17,EURUSD,Sell,1.00,1.11710,1.10974,1.11443,1.11512,-6.9,-69.00,00:04:54:00,-0.16
07/23/2019 18:20,07/24/2019 01:34,EURUSD,Sell,1.00,1.11758,1.11148,1.11566,1.11537,2.9,35.50,00:07:14:00,0.08
07/23/2019 13:24,07/23/2019 23:35,EURUSD,Sell,1.00,1.12031,1.11346,1.11789,1.11480,30.9,309.00,00:10:11:00,0.73
07/23/2019 03:20,07/23/2019 11:28,EURUSD,Sell,1.00,1.12294,1.11729,1.12049,1.11877,17.2,172.00,00:08:08:00,0.41
07/22/2019 22:34,07/23/2019 11:04,EURUSD,Sell,1.00,1.12216,1.11739,1.12085,1.11896,18.9,195.50,00:12:30:00,0.47
07/22/2019 20:20,07/23/2019 02:52,EURUSD,Sell,1.00,1.12370,1.11762,1.12168,1.12071,9.7,103.50,00:06:32:00,0.25
07/22/2019 17:27,07/22/2019 19:05,EURUSD,Sell,1.00,1.12346,1.11943,1.12155,1.12137,1.8,18.00,00:01:38:00,0.04
07/22/2019 13:14,07/22/2019 17:03,EURUSD,Sell,1.00,1.12333,1.11675,1.12174,1.12234,-6.0,-60.00,00:03:49:00,-0.14
07/22/2019 15:08,07/22/2019 16:53,EURUSD,Buy,1.00,1.11921,1.12345,1.12137,1.12205,6.8,68.00,00:01:45:00,0.16
07/22/2019 14:15,07/22/2019 15:14,EURUSD,Sell,1.00,1.12478,1.11834,1.12180,1.12151,2.9,29.00,00:00:59:00,0.07
07/22/2019 09:04,07/22/2019 12:29,EURUSD,Buy,1.00,1.12012,1.12430,1.12153,1.12137,-1.6,-16.00,00:03:25:00,-0.04
07/22/2019 04:02,07/22/2019 06:25,EURUSD,Sell,1.00,1.12389,1.11785,1.12108,1.12171,-6.3,-63.00,00:02:23:00,-0.15
07/22/2019 03:32,07/22/2019 06:20,EURUSD,Sell,1.00,1.12452,1.11713,1.12168,1.12165,0.3,3.00,00:02:48:00,0.01
07/19/2019 22:19,07/22/2019 01:11,EURUSD,Sell,1.00,1.12316,1.11836,1.12186,1.12181,0.5,11.50,02:02:52:00,0.03
07/19/2019 13:32,07/19/2019 21:38,EURUSD,Sell,1.00,1.12608,1.11946,1.12341,1.12166,17.5,175.00,00:08:06:00,0.42
07/19/2019 16:32,07/19/2019 17:23,EURUSD,Sell,1.00,1.12472,1.12022,1.12234,1.12310,-7.6,-76.00,00:00:51:00,-0.18
07/19/2019 12:29,07/19/2019 15:57,EURUSD,Sell,1.00,1.12672,1.12080,1.12424,1.12249,17.5,175.00,00:03:28:00,0.42
07/19/2019 10:10,07/19/2019 12:37,EURUSD,Sell,1.00,1.12737,1.12244,1.12627,1.12433,19.4,194.00,00:02:27:00,0.47
07/19/2019 09:33,07/19/2019 11:10,EURUSD,Sell,1.00,1.12804,1.12158,1.12612,1.12594,1.8,18.00,00:01:37:00,0.04
07/19/2019 03:11,07/19/2019 08:34,EURUSD,Buy,1.00,1.12499,1.12873,1.12646,1.12588,-5.8,-58.00,00:05:23:00,-0.14
07/19/2019 04:30,07/19/2019 08:05,EURUSD,Buy,1.00,1.12445,1.13074,1.12602,1.12606,0.4,4.00,00:03:35:00,0.01
07/19/2019 02:15,07/19/2019 03:07,EURUSD,Buy,1.00,1.12306,1.12907,1.12567,1.12665,9.8,98.00,00:00:52:00,0.24
07/18/2019 22:05,07/18/2019 22:18,EURUSD,Sell,1.00,1.12780,1.12391,1.12653,1.12780,-12.7,-127.00,00:00:13:00,-0.31
07/18/2019 15:09,07/18/2019 21:16,EURUSD,Buy,1.00,1.11990,1.12407,1.12175,1.12407,23.2,232.00,00:06:07:00,0.56
07/18/2019 20:14,07/18/2019 21:06,EURUSD,Buy,1.00,1.12138,1.12471,1.12247,1.12333,8.6,86.00,00:00:52:00,0.21
07/18/2019 16:12,07/18/2019 19:22,EURUSD,Buy,1.00,1.12006,1.12451,1.12181,1.12223,4.2,42.00,00:03:10:00,0.10
07/18/2019 14:33,07/18/2019 15:07,EURUSD,Buy,1.00,1.11971,1.12417,1.12198,1.12154,-4.4,-44.00,00:00:34:00,-0.11
07/17/2019 18:32,07/18/2019 09:40,EURUSD,Sell,1.00,1.12504,1.11823,1.12245,1.12401,-15.6,-136.50,00:15:08:00,-0.33
07/17/2019 17:11,07/17/2019 19:02,EURUSD,Sell,1.00,1.12336,1.11826,1.12147,1.12336,-18.9,-189.00,00:01:51:00,-0.46
07/17/2019 10:33,07/17/2019 12:29,EURUSD,Sell,1.00,1.12272,1.11652,1.12118,1.12157,-3.9,-39.00,00:01:56:00,-0.09
07/17/2019 09:09,07/17/2019 09:57,EURUSD,Sell,1.00,1.12267,1.11826,1.12111,1.12027,8.4,84.00,00:00:48:00,0.20
07/17/2019 04:30,07/17/2019 08:13,EURUSD,Sell,1.00,1.12306,1.11857,1.12132,1.12165,-3.3,-33.00,00:03:43:00,-0.08
07/16/2019 14:16,07/17/2019 00:30,EURUSD,Sell,1.00,1.12395,1.11948,1.12211,1.12110,10.1,107.50,00:10:14:00,0.26
07/16/2019 15:16,07/17/2019 00:18,EURUSD,Sell,1.00,1.12379,1.11961,1.12208,1.12110,9.8,104.50,00:09:02:00,0.25
07/16/2019 11:22,07/16/2019 13:53,EURUSD,Sell,1.00,1.12506,1.12191,1.12399,1.12191,20.8,208.00,00:02:31:00,0.51
07/16/2019 07:30,07/16/2019 11:22,EURUSD,Sell,1.00,1.12816,1.12387,1.12587,1.12387,20.0,200.00,00:03:52:00,0.49
07/16/2019 02:25,07/16/2019 04:15,EURUSD,Buy,1.00,1.12504,1.12867,1.12620,1.12564,-5.6,-56.00,00:01:50:00,-0.14
07/15/2019 16:12,07/15/2019 19:04,EURUSD,Buy,1.00,1.12437,1.12981,1.12662,1.12578,-8.4,-84.00,00:02:52:00,-0.21
07/15/2019 17:26,07/15/2019 18:46,EURUSD,Sell,1.00,1.12820,1.12221,1.12628,1.12553,7.5,75.00,00:01:20:00,0.18
07/15/2019 09:09,07/15/2019 15:26,EURUSD,Sell,1.00,1.12953,1.12379,1.12716,1.12736,-2.0,-20.00,00:06:17:00,-0.05
07/12/2019 19:21,07/15/2019 00:31,EURUSD,Buy,1.00,1.12442,1.12796,1.12585,1.12697,11.2,98.90,02:05:10:00,0.24
07/12/2019 20:25,07/15/2019 00:30,EURUSD,Buy,1.00,1.12380,1.12901,1.12657,1.12701,4.4,30.90,02:04:05:00,0.08
07/12/2019 12:15,07/12/2019 18:10,EURUSD,Sell,1.00,1.12764,1.12336,1.12634,1.12538,9.6,96.00,00:05:55:00,0.24
07/11/2019 16:05,07/12/2019 02:25,EURUSD,Sell,1.00,1.12808,1.12402,1.12697,1.12567,13.0,136.50,00:10:20:00,0.34
07/11/2019 17:18,07/12/2019 02:15,EURUSD,Sell,1.00,1.12707,1.12135,1.12539,1.12562,-2.3,-16.50,00:08:57:00,-0.04
07/11/2019 10:31,07/11/2019 15:17,EURUSD,Sell,1.00,1.12929,1.12490,1.12716,1.12842,-12.6,-126.00,00:04:46:00,-0.31
07/11/2019 11:32,07/11/2019 13:34,EURUSD,Sell,1.00,1.13000,1.12473,1.12728,1.12713,1.5,15.00,00:02:02:00,0.04
07/11/2019 06:10,07/11/2019 09:28,EURUSD,Buy,1.00,1.12603,1.12955,1.12736,1.12678,-5.8,-58.00,00:03:18:00,-0.14
07/11/2019 03:24,07/11/2019 05:18,EURUSD,Sell,1.00,1.12902,1.12232,1.12635,1.12645,-1.0,-10.00,00:01:54:00,-0.02
07/10/2019 19:25,07/10/2019 21:27,EURUSD,Buy,1.00,1.12414,1.12832,1.12583,1.12513,-7.0,-70.00,00:02:02:00,-0.17
07/10/2019 18:13,07/10/2019 21:07,EURUSD,Buy,1.00,1.12168,1.12845,1.12459,1.12592,13.3,133.00,00:02:54:00,0.33
07/10/2019 17:26,07/10/2019 18:06,EURUSD,Buy,1.00,1.12174,1.12691,1.12469,1.12463,-0.6,-6.00,00:00:40:00,-0.01
07/10/2019 16:23,07/10/2019 17:31,EURUSD,Sell,1.00,1.12688,1.12110,1.12479,1.12422,5.7,57.00,00:01:08:00,0.14
07/10/2019 15:31,07/10/2019 15:49,EURUSD,Buy,1.00,1.12137,1.12634,1.12265,1.12422,15.7,157.00,00:00:18:00,0.39
07/10/2019 10:12,07/10/2019 14:10,EURUSD,Buy,1.00,1.11837,1.12410,1.12129,1.12164,3.5,35.00,00:03:58:00,0.09
07/10/2019 07:14,07/10/2019 09:34,EURUSD,Sell,1.00,1.12180,1.11582,1.12062,1.12089,-2.7,-27.00,00:02:20:00,-0.07
07/09/2019 18:18,07/10/2019 01:15,EURUSD,Sell,1.00,1.12283,1.11748,1.12071,1.12083,-1.2,-5.50,00:06:57:00,-0.01
07/09/2019 17:30,07/09/2019 23:15,EURUSD,Buy,1.00,1.11861,1.12251,1.12029,1.12056,2.7,27.00,00:05:45:00,0.07
07/09/2019 07:30,07/09/2019 16:13,EURUSD,Sell,1.00,1.12453,1.11868,1.12154,1.12065,8.9,89.00,00:08:43:00,0.22
07/08/2019 23:20,07/09/2019 01:05,EURUSD,Sell,1.00,1.12314,1.11746,1.12088,1.12164,-7.6,-69.50,00:01:45:00,-0.17
07/08/2019 17:07,07/08/2019 21:02,EURUSD,Sell,1.00,1.12402,1.11850,1.12185,1.12159,2.6,26.00,00:03:55:00,0.06
07/08/2019 14:04,07/08/2019 15:52,EURUSD,Sell,1.00,1.12253,1.11888,1.12134,1.12253,-11.9,-119.00,00:01:48:00,-0.29
07/08/2019 11:03,07/08/2019 13:19,EURUSD,Buy,1.00,1.12164,1.12713,1.12333,1.12246,-8.7,-87.00,00:02:16:00,-0.22
07/08/2019 09:26,07/08/2019 11:03,EURUSD,Sell,1.00,1.12338,1.11785,1.12213,1.12338,-12.5,-125.00,00:01:37:00,-0.31
07/08/2019 05:14,07/08/2019 10:14,EURUSD,Buy,1.00,1.12167,1.12608,1.12270,1.12248,-2.2,-22.00,00:05:00:00,-0.05
07/05/2019 19:26,07/05/2019 21:32,EURUSD,Sell,1.00,1.12440,1.11852,1.12216,1.12196,2.0,20.00,00:02:06:00,0.05
07/05/2019 17:19,07/05/2019 21:30,EURUSD,Sell,1.00,1.12265,1.11748,1.12105,1.12203,-9.8,-98.00,00:04:11:00,-0.24
07/05/2019 18:10,07/05/2019 18:49,EURUSD,Sell,1.00,1.12321,1.11702,1.12084,1.12128,-4.4,-44.00,00:00:39:00,-0.11
07/05/2019 16:09,07/05/2019 17:54,EURUSD,Sell,1.00,1.12423,1.12045,1.12305,1.12235,7.0,70.00,00:01:45:00,0.17
07/04/2019 23:30,07/05/2019 02:10,EURUSD,Sell,1.00,1.13037,1.12641,1.12843,1.12867,-2.4,-17.50,00:02:40:00,-0.04
07/04/2019 18:05,07/05/2019 00:20,EURUSD,Buy,1.00,1.12591,1.13245,1.12826,1.12838,1.2,-1.10,00:06:15:00,0.00
07/04/2019 16:09,07/04/2019 19:25,EURUSD,Sell,1.00,1.13003,1.12482,1.12761,1.12850,-8.9,-89.00,00:03:16:00,-0.22
07/03/2019 19:28,07/04/2019 02:30,EURUSD,Buy,1.00,1.12578,1.13192,1.12829,1.12867,3.8,-1.30,00:07:02:00,0.00
07/03/2019 18:08,07/04/2019 02:05,EURUSD,Sell,1.00,1.13110,1.12440,1.12818,1.12874,-5.6,-36.50,00:07:57:00,-0.09
07/03/2019 17:20,07/03/2019 17:22,EURUSD,Sell,1.00,1.13057,1.12514,1.12904,1.13057,-15.3,-153.00,00:00:02:00,-0.37
07/03/2019 12:34,07/03/2019 16:23,EURUSD,Buy,1.00,1.12612,1.13110,1.12861,1.12953,9.2,92.00,00:03:49:00,0.23
07/02/2019 16:13,07/02/2019 22:30,EURUSD,Buy,1.00,1.12737,1.13394,1.12995,1.12910,-8.5,-85.00,00:06:17:00,-0.21
07/02/2019 17:26,07/02/2019 19:28,EURUSD,Buy,1.00,1.12694,1.13082,1.12877,1.13082,20.5,205.00,00:02:02:00,0.50
07/02/2019 09:23,07/02/2019 15:28,EURUSD,Buy,1.00,1.12649,1.13353,1.12940,1.12972,3.2,32.00,00:06:05:00,0.08
07/02/2019 10:21,07/02/2019 10:54,EURUSD,Buy,1.00,1.12876,1.13401,1.12986,1.12876,-11.0,-110.00,00:00:33:00,-0.27
07/02/2019 06:05,07/02/2019 08:05,EURUSD,Buy,1.00,1.12648,1.13105,1.12813,1.12887,7.4,74.00,00:02:00:00,0.18
07/02/2019 01:20,07/02/2019 05:02,EURUSD,Buy,1.00,1.12767,1.13251,1.12894,1.12828,-6.6,-66.00,00:03:42:00,-0.16
07/01/2019 21:16,07/01/2019 23:04,EURUSD,Sell,1.00,1.13102,1.12514,1.12836,1.12861,-2.5,-25.00,00:01:48:00,-0.06
07/01/2019 18:05,07/01/2019 19:28,EURUSD,Sell,1.00,1.13420,1.13006,1.13214,1.13006,20.8,208.00,00:01:23:00,0.51
07/01/2019 17:10,07/01/2019 18:41,EURUSD,Sell,1.00,1.13563,1.13088,1.13327,1.13088,23.9,239.00,00:01:31:00,0.59
07/01/2019 14:09,07/01/2019 17:01,EURUSD,Buy,1.00,1.13276,1.13752,1.13452,1.13276,-17.6,-176.00,00:02:52:00,-0.44
07/01/2019 15:19,07/01/2019 17:01,EURUSD,Sell,1.00,1.13723,1.13288,1.13491,1.13288,20.3,203.00,00:01:42:00,0.51
07/01/2019 11:03,07/01/2019 14:07,EURUSD,Buy,1.00,1.12980,1.13492,1.13247,1.13393,14.6,146.00,00:03:04:00,0.36
