Open Date,Close Date,Symbol,Action,Lots,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
03/22/2021 01:15,03/22/2021 07:19,XAUUSD,Buy,0.17,1741.47,1741.4,-7,-1.19,00:06:03:27,-0.03%
03/22/2021 07:19,03/22/2021 14:09,XAUUSD,Buy,0.02,1741.5,1736.52,-498,-9.96,00:06:50:24,-0.24%
03/23/2021 13:08,03/23/2021 16:05,XAUUSD,Sell,0.04,1740.24,1737.0,324,12.96,00:02:56:58,0.31%
03/23/2021 17:04,03/24/2021 05:16,XAUUSD,Buy,0.32,1727.93,1731.71,378,120.96,00:12:12:13,2.91%
03/25/2021 13:44,03/25/2021 14:46,XAUUSD,Sell,0.21,1731.38,1729.24,214,44.94,00:01:02:01,1.05%
03/25/2021 16:20,03/25/2021 18:42,XAUUSD,Sell,0.01,1735.05,1732.41,264,2.64,00:02:21:21,0.06%
03/25/2021 22:35,03/26/2021 01:06,XAUUSD,Buy,0.02,1727.16,1728.24,108,2.16,00:02:31:11,0.05%
03/26/2021 08:31,03/26/2021 09:40,XAUUSD,Buy,0.17,1727.89,1729.58,169,28.73,00:01:09:19,0.66%
03/26/2021 18:05,03/26/2021 21:18,XAUUSD,Sell,0.21,1733.87,1730.33,354,74.34,00:03:12:36,1.70%
03/26/2021 17:06,03/26/2021 21:18,XAUUSD,Sell,0.32,1730.86,1730.33,53,16.96,00:04:11:36,0.39%
03/26/2021 21:18,03/26/2021 22:27,XAUUSD,Buy,0.04,1730.33,1732.46,213,8.52,00:01:09:12,0.19%
03/30/2021 18:05,03/30/2021 21:18,XAUUSD,Sell,0.21,1686.35,1682.79,356,74.76,00:03:12:50,1.68%
04/01/2021 01:05,04/01/2021 03:22,XAUUSD,Sell,0.21,1707.4,1706.16,124,26.04,00:02:17:40,0.58%
04/01/2021 09:45,04/01/2021 14:12,XAUUSD,Sell,0.16,1717.15,1710.55,660,105.6,00:04:26:49,2.30%
04/01/2021 06:00,04/01/2021 14:12,XAUUSD,Sell,0.21,1712.43,1710.55,188,39.48,00:08:11:38,0.87%
04/01/2021 05:04,04/01/2021 14:12,XAUUSD,Sell,0.02,1711.37,1710.55,82,1.64,00:09:07:53,0.04%
04/01/2021 04:55,04/01/2021 14:12,XAUUSD,Sell,0.04,1710.3,1710.55,-25,-1.0,00:09:16:58,-0.02%
04/05/2021 18:24,04/08/2021 10:36,XAUUSD,Sell,0.01,1732.23,1746.27,-1404,-14.04,02:16:12:00,-0.30%
04/08/2021 11:53,04/08/2021 13:14,XAUUSD,Buy,0.16,1741.73,1745.87,414,66.24,00:01:21:33,1.41%
04/08/2021 10:50,04/08/2021 13:14,XAUUSD,Buy,0.21,1744.77,1745.87,110,23.1,00:02:24:12,0.49%
04/08/2021 15:10,04/08/2021 16:04,XAUUSD,Buy,0.02,1747.81,1751.19,338,6.76,00:00:53:57,0.14%
04/09/2021 07:07,04/09/2021 08:11,XAUUSD,Sell,0.17,1753.53,1751.22,231,39.27,00:01:03:45,0.82%
04/09/2021 16:09,04/09/2021 17:37,XAUUSD,Buy,0.17,1732.83,1743.57,1074,182.58,00:01:27:48,3.86%
