Open Date,Close Date,Symbol,Action,Lots,Open Price,Close Price
11/27/2019 13:57,11/27/2019 14:12,GBPUSD,Sell,0.1,1.28884,1.28808
11/27/2019 13:51,11/27/2019 14:12,GBPUSD,Sell,0.1,1.28834,1.28808
11/27/2019 11:53,11/27/2019 12:36,GBPUSD,Buy,0.05,1.28639,1.28712
11/27/2019 07:57,11/27/2019 09:26,GBPUSD,Sell,0.05,1.28468,1.28405
11/26/2019 15:13,11/26/2019 16:41,GBPUSD,Sell,0.05,1.28548,1.28448
11/25/2019 11:28,11/25/2019 13:53,GBPUSD,Sell,0.05,1.28784,1.28753
11/25/2019 12:45,11/25/2019 13:53,GBPUSD,Sell,0.05,1.28806,1.28752
11/22/2019 14:54,11/22/2019 15:27,GBPUSD,Sell,0.1,1.28588,1.28561
11/22/2019 11:21,11/22/2019 11:34,GBPUSD,Sell,0.1,1.28896,1.28761
11/22/2019 11:06,11/22/2019 11:13,GBPUSD,Sell,0.1,1.29016,1.28974
11/22/2019 08:30,11/22/2019 10:58,GBPUSD,Sell,0.05,1.29211,1.29177
11/21/2019 10:01,11/21/2019 11:20,GBPUSD,Buy,0.05,1.29398,1.29418
11/21/2019 10:01,11/21/2019 11:04,GBPUSD,Buy,0.05,1.29362,1.29413
11/20/2019 10:57,11/20/2019 14:01,GBPUSD,Sell,0.05,1.28906,1.28963
11/20/2019 11:04,11/20/2019 14:00,GBPUSD,Sell,0.05,1.28952,1.28962
11/20/2019 11:21,11/20/2019 14:00,GBPUSD,Sell,0.05,1.29002,1.28954
11/20/2019 11:30,11/20/2019 14:00,GBPUSD,Sell,0.05,1.29041,1.28954
11/20/2019 12:15,11/20/2019 14:00,GBPUSD,Sell,0.05,1.29122,1.28951
11/20/2019 13:16,11/20/2019 14:00,GBPUSD,Sell,0.1,1.29013,1.28952
11/20/2019 08:02,11/20/2019 10:44,GBPUSD,Sell,0.1,1.29051,1.2892
11/20/2019 10:02,11/20/2019 10:14,GBPUSD,Sell,0.1,1.2916,1.29095
11/19/2019 10:21,11/19/2019 11:40,GBPUSD,Sell,0.1,1.29519,1.29469
11/19/2019 10:25,11/19/2019 11:40,GBPUSD,Sell,0.1,1.29548,1.29471
11/19/2019 02:55,11/19/2019 05:32,GBPUSD,Buy,0.05,1.29518,1.29532
11/19/2019 03:26,11/19/2019 05:32,GBPUSD,Buy,0.05,1.29471,1.29532
11/18/2019 08:09,11/18/2019 09:13,GBPUSD,Buy,0.05,1.29283,1.29479
11/18/2019 01:05,11/18/2019 04:02,GBPUSD,Buy,0.05,1.29154,1.29207
11/15/2019 21:56,,,Withdrawal,0.01,0,0
11/15/2019 09:06,11/15/2019 16:02,GBPUSD,Buy,0.05,1.28812,1.28878
11/15/2019 08:56,11/15/2019 16:02,GBPUSD,Buy,0.05,1.28851,1.28872
11/15/2019 15:32,11/15/2019 15:59,GBPUSD,Buy,0.1,1.28752,1.28852
11/15/2019 15:26,11/15/2019 15:59,GBPUSD,Buy,0.05,1.28789,1.28852
11/15/2019 14:39,11/15/2019 15:04,GBPUSD,Buy,0.1,1.28779,1.28806
11/15/2019 10:35,11/15/2019 15:03,GBPUSD,Buy,0.05,1.28712,1.28805
11/15/2019 09:36,11/15/2019 14:06,GBPUSD,Buy,0.05,1.28754,1.2878
11/15/2019 12:14,11/15/2019 14:06,GBPUSD,Buy,0.1,1.28712,1.28784
11/14/2019 18:12,11/14/2019 18:29,GBPUSD,Buy,0.05,1.28655,1.28772
11/14/2019 18:12,11/14/2019 18:28,GBPUSD,Buy,0.05,1.28653,1.28765
11/14/2019 18:13,11/14/2019 18:28,GBPUSD,Buy,0.1,1.28686,1.28767
11/14/2019 18:13,11/14/2019 18:28,GBPUSD,Buy,0.1,1.28686,1.28766
11/14/2019 18:08,11/14/2019 18:12,GBPUSD,Sell,0.05,1.28598,1.28647
11/14/2019 17:33,11/14/2019 18:11,GBPUSD,Sell,0.05,1.28498,1.28645
11/14/2019 17:54,11/14/2019 18:11,GBPUSD,Sell,0.05,1.28533,1.28649
11/14/2019 16:35,11/14/2019 17:00,GBPUSD,Sell,0.05,1.28433,1.28413
11/14/2019 16:45,11/14/2019 16:55,GBPUSD,Sell,0.05,1.28487,1.28442
11/13/2019 11:52,11/14/2019 11:30,GBPUSD,Buy,0.1,1.28556,1.28523
11/13/2019 11:53,11/14/2019 11:30,GBPUSD,Buy,0.1,1.28573,1.28526
11/13/2019 11:53,11/14/2019 11:30,GBPUSD,Buy,0.1,1.28577,1.28531
11/13/2019 11:59,11/14/2019 11:30,GBPUSD,Buy,0.05,1.28536,1.28539
11/13/2019 11:58,11/14/2019 11:30,GBPUSD,Buy,0.05,1.28538,1.2854
11/14/2019 07:59,11/14/2019 11:30,GBPUSD,Buy,0.05,1.28301,1.28543
11/14/2019 08:01,11/14/2019 11:30,GBPUSD,Buy,0.05,1.28294,1.28543
11/13/2019 12:14,11/13/2019 22:58,GBPUSD,Buy,0.05,1.28444,1.28515
11/13/2019 12:14,11/13/2019 22:58,GBPUSD,Buy,0.05,1.28445,1.28514
11/13/2019 17:16,11/13/2019 22:40,GBPUSD,Buy,0.05,1.28311,1.28463
11/13/2019 17:16,11/13/2019 22:40,GBPUSD,Buy,0.05,1.2832,1.28462
11/13/2019 17:17,11/13/2019 22:40,GBPUSD,Buy,0.05,1.28275,1.28462
11/13/2019 17:17,11/13/2019 22:40,GBPUSD,Buy,0.05,1.28288,1.28462
11/13/2019 10:41,11/13/2019 11:58,GBPUSD,Sell,0.05,1.28306,1.28534
11/13/2019 11:34,11/13/2019 11:58,GBPUSD,Sell,0.05,1.28394,1.28549
11/13/2019 11:34,11/13/2019 11:54,GBPUSD,Sell,0.05,1.28428,1.28574
11/13/2019 11:42,11/13/2019 11:54,GBPUSD,Sell,0.05,1.28487,1.28574
