Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %,,
12/01/2017 18:30,12/04/2017 02:00,EURUSD,Sell,3.3,0,0,1.19312,1.18572,74,2458.73,02:07:30:00,3.12,,82800.74
12/01/2017 18:31,12/04/2017 02:00,EURUSD,Sell,3.3,0,0,1.19337,1.18572,76.5,2541.23,02:07:29:00,3.13,,80342.01
12/01/2017 14:05,12/01/2017 18:29,EURUSD,Buy,3.23,0,0,1.18958,1.19262,30.4,981.92,00:04:24:00,1.28,,77800.78
12/01/2017 14:06,12/01/2017 18:29,EURUSD,Buy,3.23,0,0,1.18949,1.19262,31.3,1010.99,00:04:23:00,1.3,,76818.86
12/01/2017 13:06,12/01/2017 14:04,EURUSD,Buy,3.24,0,0,1.18964,1.18945,-1.9,-61.56,00:00:58:00,-0.08,,75807.87
12/01/2017 13:07,12/01/2017 14:04,EURUSD,Buy,3.24,0,0,1.18984,1.18945,-3.9,-126.36,00:00:57:00,-0.16,,75869.43
12/01/2017 12:50,12/01/2017 13:05,EURUSD,Sell,3.24,0,0,1.18925,1.18951,-2.6,-84.24,00:00:15:00,-0.11,,75995.79
12/01/2017 12:51,12/01/2017 13:05,EURUSD,Sell,3.24,0,0,1.18921,1.18951,-3,-97.2,00:00:14:00,-0.13,,76080.03
12/01/2017 12:25,12/01/2017 12:49,EURUSD,Sell,3.2,0,0,1.19052,1.18888,16.4,524.8,00:00:24:00,0.69,,76177.23
12/01/2017 12:26,12/01/2017 12:49,EURUSD,Sell,3.2,0,0,1.19047,1.18888,15.9,508.8,00:00:23:00,0.66,,75652.43
12/01/2017 08:57,12/01/2017 12:24,EURUSD,Sell,3.17,0,0,1.19189,1.19094,9.5,301.15,00:03:27:00,0.4,,75143.63
12/01/2017 08:58,12/01/2017 12:24,EURUSD,Sell,3.17,0,0,1.19184,1.19094,9,285.3,00:03:26:00,0.38,,74842.48
12/01/2017 01:02,12/01/2017 08:56,EURUSD,Buy,3.11,0,0,1.18965,1.19209,24.4,758.84,00:07:54:00,1.02,,74557.18
12/01/2017 01:03,12/01/2017 08:56,EURUSD,Buy,3.11,0,0,1.18973,1.19209,23.6,733.96,00:07:53:00,0.98,,73798.34
12/01/2017 00:03,12/01/2017 01:01,EURUSD,Sell,3.09,0,0,1.19032,1.1897,6.2,191.58,00:00:58:00,0.26,,73064.38
12/01/2017 00:04,12/01/2017 01:01,EURUSD,Sell,3.09,0,0,1.19033,1.1897,6.3,194.67,00:00:57:00,0.26,,72872.8
11/30/2017 23:03,12/01/2017 00:02,EURUSD,Buy,3.1,0,0,1.19044,1.19025,-1.9,-83.14,00:00:59:00,-0.11,,72678.13
11/30/2017 23:04,12/01/2017 00:02,EURUSD,Buy,3.1,0,0,1.19045,1.19025,-2,-86.24,00:00:58:00,-0.12,,72761.27
11/30/2017 21:51,11/30/2017 23:02,EURUSD,Buy,3.08,0,0,1.18926,1.19036,11,338.8,00:01:11:00,0.46,,72847.51
11/30/2017 21:52,11/30/2017 23:02,EURUSD,Buy,3.08,0,0,1.18928,1.19036,10.8,332.64,00:01:10:00,0.45,,72508.71
11/30/2017 20:42,11/30/2017 21:50,EURUSD,Sell,3.03,0,0,1.191,1.18924,17.6,533.28,00:01:08:00,0.74,,72176.07
11/30/2017 20:43,11/30/2017 21:50,EURUSD,Sell,3.03,0,0,1.19095,1.18924,17.1,518.13,00:01:07:00,0.71,,71642.79
11/30/2017 20:09,11/30/2017 20:41,EURUSD,Buy,3,0,0,1.18997,1.19098,10.1,303,00:00:32:00,0.42,,71124.66
11/30/2017 20:10,11/30/2017 20:41,EURUSD,Buy,3,0,0,1.18984,1.19098,11.4,342,00:00:31:00,0.48,,70821.66
11/30/2017 16:51,11/30/2017 20:08,EURUSD,Sell,3.02,0,0,1.18919,1.18993,-7.4,-223.48,00:03:17:00,-0.31,,70479.66
11/30/2017 16:52,11/30/2017 20:08,EURUSD,Sell,3.02,0,0,1.18953,1.18993,-4,-120.8,00:03:16:00,-0.17,,70703.14
11/30/2017 12:57,11/30/2017 16:50,EURUSD,Buy,2.9,0,0,1.18333,1.18894,56.1,1626.9,00:03:53:00,2.37,,70823.94
11/30/2017 12:58,11/30/2017 16:50,EURUSD,Buy,2.9,0,0,1.18327,1.18894,56.7,1644.3,00:03:52:00,2.34,,69197.04
11/30/2017 08:15,11/30/2017 12:56,EURUSD,Sell,2.82,0,0,1.1862,1.18319,30.1,848.82,00:04:41:00,1.27,,67552.74
11/30/2017 08:16,11/30/2017 12:56,EURUSD,Sell,2.82,0,0,1.18618,1.18319,29.9,843.18,00:04:40:00,1.25,,66703.92
11/29/2017 20:19,11/29/2017 21:06,EURUSD,Buy,2.79,0,0,1.18517,1.18641,12.4,345.96,00:00:47:00,0.52,,65860.74
